"Population at the first day of the quarter by marital status, age, time, region and sex",,,,,,
Units: Number,,,,,,
,,,,Total,Men,Women
Total,Total,2021Q3,All Denmark,5850189,2910605,2939584
,,,Region Hovedstaden,1857783,912206,945577
,,,Copenhagen,638790,315157,323633
,,,Frederiksberg,102940,48806,54134
,,,Dragør,14588,7139,7449
,,,Tårnby,42658,21163,21495
,,,Albertslund,27113,13433,13680
,,,Ballerup,49106,23990,25116
,,,Brøndby,35457,17408,18049
,,,Gentofte,74303,35462,38841
,,,Gladsaxe,68963,34193,34770
,,,Glostrup,23526,11708,11818
,,,Herlev,28835,14066,14769
,,,Hvidovre,53247,26254,26993
,,,Høje-Taastrup,52504,26315,26189
,,,Ishøj,23055,11503,11552
,,,Lyngby-Taarbæk,57072,28106,28966
,,,Rødovre,41217,20189,21028
,,,Vallensbæk,16540,8298,8242
,,,Allerød,25929,12703,13226
,,,Egedal,44109,21929,22180
,,,Fredensborg,41087,19909,21178
,,,Frederikssund,45807,22613,23194
,,,Furesø,41185,20107,21078
,,,Gribskov,41219,20568,20651
,,,Halsnæs,31438,15642,15796
,,,Helsingør,63158,30589,32569
,,,Hillerød,52116,25569,26547
,,,Hørsholm,24798,11690,13108
,,,Rudersdal,57195,27956,29239
,,,Bornholm,39739,19691,20048
,,,Christiansø,89,50,39
,,,Region Sjælland,841679,419520,422159
,,,Greve,50681,25044,25637
,,,Køge,61655,30648,31007
,,,Lejre,28504,14178,14326
,,,Roskilde,88989,43627,45362
,,,Solrød,23492,11597,11895
,,,Faxe,36979,18907,18072
,,,Guldborgsund,60478,30194,30284
,,,Holbæk,72495,36035,36460
,,,Kalundborg,48427,24318,24109
,,,Lolland,40331,20358,19973
,,,Næstved,83492,41466,42026
,,,Odsherred,32964,16512,16452
,,,Ringsted,35072,17720,17352
,,,Slagelse,79555,39565,39990
,,,Sorø,29944,14980,14964
,,,Stevns,23284,11768,11516
,,,Vordingborg,45337,22603,22734
,,,Region Syddanmark,1225035,612991,612044
,,,Assens,40838,20545,20293
,,,Faaborg-Midtfyn,51787,25995,25792
,,,Kerteminde,23914,11790,12124
,,,Langeland,12373,6278,6095
,,,Middelfart,39433,19786,19647
,,,Nordfyns,29594,14960,14634
,,,Nyborg,32017,15834,16183
,,,Odense,204795,101253,103542
,,,Svendborg,58909,29240,29669
,,,Ærø,6016,3021,2995
,,,Billund,26576,13422,13154
,,,Esbjerg,115529,57982,57547
,,,Fanø,3451,1675,1776
,,,Fredericia,51521,25799,25722
,,,Haderslev,55403,27875,27528
,,,Kolding,93061,46532,46529
,,,Sønderborg,73717,36864,36853
,,,Tønder,37021,18670,18351
,,,Varde,49746,25243,24503
,,,Vejen,42788,21803,20985
,,,Vejle,118028,59162,58866
,,,Aabenraa,58518,29262,29256
,,,Region Midtjylland,1335289,667884,667405
,,,Favrskov,48630,24513,24117
,,,Hedensted,47005,24011,22994
,,,Horsens,93093,46837,46256
,,,Norddjurs,36977,18926,18051
,,,Odder,23091,11380,11711
,,,Randers,98549,49317,49232
,,,Samsø,3697,1843,1854
,,,Silkeborg,96409,48080,48329
,,,Skanderborg,63791,31737,32054
,,,Syddjurs,43441,21819,21622
,,,Aarhus,352315,173023,179292
,,,Herning,89332,45059,44273
,,,Holstebro,58618,29246,29372
,,,Ikast-Brande,41832,21383,20449
,,,Lemvig,19519,9955,9564
,,,Ringkøbing-Skjern,56239,28585,27654
,,,Skive,45226,23016,22210
,,,Struer,20829,10514,10315
,,,Viborg,96696,48640,48056
,,,Region Nordjylland,590403,298004,292399
,,,Brønderslev,36169,18316,17853
,,,Frederikshavn,59023,29751,29272
,,,Hjørring,64017,32087,31930
,,,Jammerbugt,38200,19290,18910
,,,Læsø,1785,885,900
,,,Mariagerfjord,41572,21203,20369
,,,Morsø,20082,10172,9910
,,,Rebild,30558,15514,15044
,,,Thisted,43142,21767,21375
,,,Vesthimmerlands,36379,18477,17902
,,,Aalborg,219476,110542,108934